,observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date
0,2025-08-28,4193,-27,-72,S27W72,220,219.0,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2025-08-23T19:28:54
1,2025-08-28,4196,-12,12,S12E12,136,136.0,10.0,Hrx,1.0,1.0,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2025-08-24T19:26:11
2,2025-08-28,4198,11,-7,N11W07,155,154.0,10.0,Bxo,4.0,3.0,B,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2025-08-25T18:43:04
3,2025-08-28,4189,8,-80,N08W80,228,227.0,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2025-08-19T19:04:03
4,2025-08-28,4197,-18,16,S18E16,132,131.0,720.0,Eki,13.0,43.0,BG,,f,2,1,0,,1,0,0,0,0,0.0,75,35,10,1,2025-08-24T19:27:26
5,2025-08-28,4202,-15,35,S15E35,113,113.0,150.0,Hax,3.0,2.0,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2025-08-26T17:27:33
6,2025-08-28,4201,-21,30,S21E30,118,117.0,120.0,Csi,8.0,6.0,B,,f,0,0,0,,0,0,0,0,0,,40,10,1,1,2025-08-26T17:21:11
7,2025-08-28,4204,3,42,N03E42,106,104.0,20.0,Hrx,1.0,1.0,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2025-08-27T19:00:34
8,2025-08-28,4188,-9,-64,S09W64,212,211.0,30.0,Hrx,1.0,1.0,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2025-08-18T16:33:22
9,2025-08-28,4190,19,-56,N19W56,204,203.0,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2025-08-20T18:29:53
10,2025-08-28,4195,-18,0,S18W00,148,147.0,,,,,,,f,1,0,0,,0,1,0,0,0,0.0,0,0,0,0,2025-08-23T19:31:15
11,2025-08-28,4203,12,-89,N12W89,237,236.0,50.0,Dao,5.0,7.0,B,,f,4,1,0,,11,0,0,0,0,0.0,35,10,1,1,2025-08-26T17:32:14
12,2025-08-28,4191,12,-27,N12W27,175,174.0,400.0,Ehi,12.0,11.0,B,,f,0,0,0,,0,0,0,0,0,,50,15,1,1,2025-08-20T18:31:10
13,2025-08-28,4194,3,-44,N03W44,192,190.0,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2025-08-23T19:29:54
14,2025-08-28,4199,4,32,N04E32,116,116.0,200.0,Cao,5.0,5.0,B,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2025-08-25T18:44:26
15,2025-08-28,4200,-8,-27,S08W27,175,175.0,80.0,Dai,6.0,11.0,B,,f,0,0,0,,0,0,0,0,0,0.0,35,5,1,1,2025-08-26T17:10:54
16,2025-08-27,4189,8,-66,N08W66,227,226.0,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2025-08-19T19:04:03
17,2025-08-27,4199,4,45,N04E45,116,115.0,170.0,Cao,5.0,9.0,B,,f,2,0,0,,2,0,0,0,0,0.0,20,5,1,1,2025-08-25T18:44:26
18,2025-08-27,4187,-18,-99,S18W99,260,259.0,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2025-08-18T16:32:50
19,2025-08-27,4190,19,-42,N19W42,203,202.0,10.0,Axx,1.0,1.0,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2025-08-20T18:29:53
20,2025-08-27,4198,11,7,N11E07,154,154.0,10.0,Bxo,4.0,2.0,B,,f,0,0,0,,2,0,0,0,0,0.0,10,1,1,1,2025-08-25T18:43:04
